Date,Opponent,Score,Stadium,City
8/15/2016,West HamWEST HAM UNITED (0-0-1),W 2 - 1,"Stamford BridgeLondon, England",London
8/20/2016,WatfordWATFORD (0-1-1),W 2 - 1,"Vicarage RoadWatford, England",Other
8/27/2016,BurnleyBURNLEY (1-0-2),W 3 - 0,"Stamford BridgeLondon, England",London
9/11/2016,Swansea CitySWANSEA CITY (1-1-2),D 2 - 2,"Liberty StadiumSwansea, Wales",Other
9/16/2016,LiverpoolLIVERPOOL (3-1-1),L 1 - 2,"Stamford BridgeLondon, England",London
9/16/2016,M. Tel-AvivMACCABI TEL-AVIV (0-0-1),W 4 - 0,"Stamford BridgeLondon, England",London
9/24/2016,ArsenalARSENAL (4-1-1),L 0 - 3,"Emirates StadiumLondon, England",London
9/29/2016,FC PortoFC PORTO (1-1-0),L 1 - 2,"DragaoOporto, Portugal",Other
10/1/2016,Hull CityHULL CITY (2-1-4),W 2 - 0,"KCOM StadiumKingston Upon Hull, England",Other
10/15/2016,Leicester CityLEICESTER CITY (2-2-4),W 3 - 0,"Stamford BridgeLondon, England",London
10/20/2016,Dynamo KievDYNAMO KIEV (1-2-0),D 0 - 0,"Olimpiysky StadiumKiev, Ukraine",Other
10/23/2016,Manchester UtdMANCHESTER UNITED (4-2-3),W 4 - 0,"Stamford BridgeLondon, England",London
10/30/2016,SouthamptonSOUTHAMPTON (3-4-3),W 2 - 0,"St. Mary's StadiumSouthampton, England",Other
11/4/2016,Dynamo KievDYNAMO KIEV (1-2-1),W 2 - 1,"Stamford BridgeLondon, England",London
11/5/2016,EvertonEVERTON (5-3-3),W 5 - 0,"Stamford BridgeLondon, England",London
11/20/2016,MiddlesbroughMIDDLESBROUGH (2-5-5),W 1 - 0,"Riverside StadiumMiddlesbrough, England",Other
11/24/2016,M. Tel-AvivMACCABI TEL-AVIV (0-0-5),W 4 - 0,"Sammy Ofer StadiumHaifa, Israel",Other
11/26/2016,TottenhamTOTTENHAM HOTSPUR (6-6-1),W 2 - 1,"Stamford BridgeLondon, England",London
12/3/2016,Man. CityMANCHESTER CITY (9-3-2),W 3 - 1,"Etihad StadiumManchester, England",Other
12/9/2016,FC PortoFC PORTO (3-1-2),W 2 - 0,"Stamford BridgeLondon, England",London
12/11/2016,West BromWEST BROMWICH ALBION (5-5-5),W 1 - 0,"Stamford BridgeLondon, England",London
12/14/2016,SunderlandSUNDERLAND (3-2-11),W 1 - 0,"Stadium Of LightSunderland, England",Other
12/17/2016,Crystal PalaceCRYSTAL PALACE (4-3-10),W 1 - 0,"Selhurst ParkLondon, England",London
12/26/2016,BournemouthBOURNEMOUTH (6-3-9),W 3 - 0,"Stamford BridgeLondon, England",London
12/31/2016,Stoke CitySTOKE CITY (5-6-8),W 4 - 2,"Stamford BridgeLondon, England",London
1/4/2017,TottenhamTOTTENHAM HOTSPUR (12-6-2),L 0 - 2,White Hart LaneEngland,Other
1/14/2017,Leicester CityLEICESTER CITY (5-6-10),W 3 - 0,"King Power StadiumLeicester, England",Other
1/22/2017,Hull CityHULL CITY (4-4-14),W 2 - 0,"Stamford BridgeLondon, England",London
1/31/2017,LiverpoolLIVERPOOL (13-7-3),D 1 - 1,"AnfieldLiverpool, England",Other
2/4/2017,ArsenalARSENAL (14-5-5),W 3 - 1,"Stamford BridgeLondon, England",London
2/12/2017,BurnleyBURNLEY (9-3-13),D 1 - 1,"Turf MoorBurnley, England",Other
2/16/2017,Paris SGPARIS SG (1-0-0),L 1 - 2,"Parc des PrincesParis, France",Other
2/25/2017,Swansea CitySWANSEA CITY (7-3-16),W 3 - 1,"Stamford BridgeLondon, England",London
3/6/2017,West HamWEST HAM UNITED (9-6-12),W 2 - 1,"Olympic StadiumLondon, England",London
3/9/2017,Paris SGPARIS SG (2-0-0),L 1 - 2,"Stamford BridgeLondon, England",London
3/13/2017,WatfordWATFORD (8-7-12),PPD,"Stamford BridgeLondon, England",London
3/18/2017,Stoke CitySTOKE CITY (9-9-11),W 2 - 1,"bet365 StadiumStoke-on-Trent, England",Other
4/1/2017,Crystal PalaceCRYSTAL PALACE (9-4-16),L 1 - 2,"Stamford BridgeLondon, England",London
4/5/2017,Man. CityMANCHESTER CITY (17-7-6),W 2 - 1,"Stamford BridgeLondon, England",London
4/8/2017,BournemouthBOURNEMOUTH (9-8-15),W 3 - 1,"Vitality StadiumBournemouth, England",Other
4/16/2017,Manchester UtdMANCHESTER UNITED (16-12-3),L 0 - 2,"Old TraffordManchester, England",Other
4/23/2017,SouthamptonSOUTHAMPTON (11-7-13),PPD,"Stamford BridgeLondon, England",London
4/25/2017,SouthamptonSOUTHAMPTON (11-7-14),W 4 - 2,"Stamford BridgeLondon, England",London
4/30/2017,EvertonEVERTON (16-10-9),W 3 - 0,"Goodison ParkLiverpool, England",Other
5/8/2017,MiddlesbroughMIDDLESBROUGH (5-13-18),W 3 - 0,"Stamford BridgeLondon, England",London
5/12/2017,West BromWEST BROMWICH ALBION (12-9-15),W 1 - 0,"The HawthornsWest Bromwich, England",Other
5/15/2017,WatfordWATFORD (11-7-19),W 4 - 3,"Stamford BridgeLondon, England",London
5/21/2017,SunderlandSUNDERLAND (6-6-26),W 5 - 1,"Stamford BridgeLondon, England",London
8/12/2017,BurnleyBURNLEY (1-0-0),L 2 - 3,"Stamford BridgeLondon, England",London
8/20/2017,TottenhamTOTTENHAM HOTSPUR (1-0-1),W 2 - 1,"Wembley StadiumLondon, England",London
8/27/2017,EvertonEVERTON (1-1-1),W 2 - 0,"Stamford BridgeLondon, England",London
9/9/2017,Leicester CityLEICESTER CITY (1-0-3),W 2 - 1,"King Power StadiumLeicester, England",Other
9/12/2017,FK QarabagFK QARABAG (0-0-1),W 6 - 0,"Stamford BridgeLondon, England",London
9/17/2017,ArsenalARSENAL (2-1-2),D 0 - 0,"Stamford BridgeLondon, England",London
9/23/2017,Stoke CitySTOKE CITY (1-2-3),W 4 - 0,"bet365 StadiumStoke-on-Trent, England",Other
9/27/2017,Atlético MadridATLÉTICO MADRID (0-1-1),W 2 - 1,"Wanda MetropolitanoMadrid, Spain",Other
9/30/2017,Man. CityMANCHESTER CITY (6-1-0),L 0 - 1,"Stamford BridgeLondon, England",London
