Date,Opponent,Score,Stadium,City
8/12/2016,SC BastiaSC BASTIA (0-0-1),W 1 - 0,"Armand CesariFuriani, France",Other
8/21/2016,MetzMETZ (1-0-1),W 3 - 0,"Parc des PrincesParis, France",Paris
8/28/2016,MonacoMONACO (2-1-0),L 1 - 3,"Stade Louis IIFontvieille, Monaco",Other
9/9/2016,St. EtienneST. ETIENNE (1-2-1),D 1 - 1,"Parc des PrincesParis, France",Paris
9/13/2016,ArsenalARSENAL (0-1-0),D 1 - 1,"Parc des PrincesParis, France",Paris
9/16/2016,CaenCAEN (2-0-3),W 6 - 0,"Michel d'OrnanoCaen, France",Other
9/20/2016,DIJON (1-1-4),W 3 - 0,"Parc des PrincesParis, France",Paris
9/23/2016,ToulouseTOULOUSE (4-2-1),L 0 - 2,"Municipal ToulouseToulouse, France",Other
9/28/2016,LudogoretsLUDOGORETS (0-1-1),W 3 - 1,"Ludogorets ArenaRazgrad, Bulgaria",Other
10/1/2016,BordeauxBORDEAUX (4-1-3),W 2 - 0,"Parc des PrincesParis, France",Paris
10/15/2016,NANCY (1-2-6),W 2 - 1,"Marcel PicotTomblaine, France",Other
10/19/2016,FC BaselFC BASEL (0-1-2),W 3 - 0,"Parc des PrincesParis, France",Paris
10/23/2016,MarseilleMARSEILLE (3-4-3),D 0 - 0,"Parc des PrincesParis, France",Paris
10/28/2016,LilleLILLE (3-1-7),W 1 - 0,"Stade Pierre-MauroyVilleneuve-d'Ascq, France",Other
11/1/2016,FC BaselFC BASEL (0-1-3),W 2 - 1,"St. Jakob-ParkBasel, Switzerland",Other
11/6/2016,RennesRENNES (6-2-4),W 4 - 0,"Parc des PrincesParis, France",Paris
11/19/2016,NantesNANTES (3-3-7),W 2 - 0,"Parc des PrincesParis, France",Paris
11/23/2016,ArsenalARSENAL (3-2-0),D 2 - 2,"Emirates StadiumLondon, England",Other
11/27/2016,LyonLYON (7-1-6),W 2 - 1,"Stade des LumieresLyon, France",Other
11/30/2016,AngersANGERS (5-3-7),W 2 - 0,"Parc des PrincesParis, France",Paris
12/3/2016,MontpellierMONTPELLIER (4-7-5),L 0 - 3,"La MossonMontpellier, France",Other
12/6/2016,LudogoretsLUDOGORETS (0-3-3),D 2 - 2,"Parc des PrincesParis, France",Paris
12/11/2016,NiceNICE (12-4-1),D 2 - 2,"Parc des PrincesParis, France",Paris
12/17/2016,GuingampGUINGAMP (8-5-5),L 1 - 2,"Du RoudourouGuingamp, France",Other
12/21/2016,LorientLORIENT (4-3-12),W 5 - 0,"Parc des PrincesParis, France",Paris
1/14/2017,RennesRENNES (8-4-8),W 1 - 0,"Roazhon ParkRennes, France",Other
1/21/2017,NantesNANTES (7-4-10),W 2 - 0,"Stade de la Beaujoire - Louis FonteneauNantes, France",Other
1/29/2017,MonacoMONACO (15-4-3),D 1 - 1,"Parc des PrincesParis, France",Paris
2/4/2017,DIJON (5-9-9),W 3 - 1,"Municipal Gaston GerardDijon, France",Other
2/7/2017,LilleLILLE (7-5-12),W 2 - 1,"Parc des PrincesParis, France",Paris
2/10/2017,BordeauxBORDEAUX (9-9-7),W 3 - 0,"Nouveau Stade de BordeauxBordeaux, France",Other
2/14/2017,BarcelonaBARCELONA (0-0-1),W 4 - 0,"Parc des PrincesParis, France",Paris
2/19/2017,ToulouseTOULOUSE (9-7-10),D 0 - 0,"Parc des PrincesParis, France",Paris
2/26/2017,MarseilleMARSEILLE (11-6-10),W 5 - 1,"Stade VelodromeMarseille, France",Other
3/4/2017,NANCY (7-7-14),W 1 - 0,"Parc des PrincesParis, France",Paris
3/8/2017,BarcelonaBARCELONA (1-0-1),L 1 - 6,"Camp NouBarcelona, Spain",Other
3/12/2017,LorientLORIENT (6-4-19),W 2 - 1,"Stade du MoustoirLorient, France",Other
3/19/2017,LyonLYON (16-2-11),W 2 - 1,"Parc des PrincesParis, France",Paris
4/2/2017,MetzMETZ (9-8-12),PPD,"Saint-SymphorienMetz, France",Other
4/9/2017,GuingampGUINGAMP (11-8-13),W 4 - 0,"Parc des PrincesParis, France",Paris
